Lab.ID,X,Y,Total.Starch,TriticeaeST,FaboideaeST,PanicoideaeST,USO,PxGram,Grass.inflorescence,Grass.Culm.Leaves,Panicoideae.grass,Cyp.papillae,Arecaceae
131.1P,1045.83,1187.74,2,0,0,0,2,382942.529,19,181,2,5,0
131.2P,1045.85,1188.28,2,0,0,0,2,957256.5157,34,178,0,2,0
131.3P,1045.89,1189.2,16,0,0,0,13,406356.4715,35,167,5,3,0
131.4P,1046.32,1189.15,0,0,0,0,0,356011.3621,36,187,2,2,0
131.5P,1046.37,1187.77,1,0,0,0,1,367288.4744,83,140,1,6,0
131.6P,1046.76,1187.69,0,0,0,0,0,3651293.879,37,171,0,5,0
131.7P,1047.22,1187.69,18,2,13,0,2,1598423.3,23,187,1,4,0
131.8P,1046.84,1188.56,0,0,0,0,0,811442.8835,29,192,1,4,0
131.9P,1046.72,1189.09,4,1,0,0,2,1162646.438,33,185,3,4,0
131.10P,1046.9,1188.16,1,0,0,0,1,1817978.152,97,126,0,0,0
131.11P,1047.23,1188.15,17,0,0,0,16,1441927.55,40,165,0,3,0
131.12P,1047.2,1188.63,4,0,0,0,2,833830.9261,31,180,1,3,0
131.13P,1047.21,1189.08,2,1,0,0,1,780250.8073,18,204,0,6,0
131.14P,1044.2,1186.9,10,0,0,0,8,454015.7058,66,152,4,2,0
131.15P,1044.23,1187.36,0,0,0,0,0,952510.2058,65,145,2,2,0
131.16P,1044.75,1186.91,23,0,0,0,21,1276261.155,56,169,3,5,0
131.17P,1044.7,1187.38,0,0,0,0,0,913661.6272,92,130,3,2,0
131.18P,1045.29,1185.94,8,0,1,0,7,365547.0079,33,180,1,0,0
131.19P,1045.26,1186.43,15,0,0,0,13,114512.1962,48,171,2,1,0
131.20P,1045.24,1186.89,6,0,0,0,6,614202.0793,55,161,0,2,0
131.21P,1045.18,1187.38,0,0,0,0,0,1536718.717,61,151,2,3,0
131.22P,1045.83,1185.97,4,1,1,1,0,436441.7676,54,168,2,1,0
131.23P,1045.81,1186.51,0,0,0,0,0,472804.5489,41,183,3,0,0
131.24P,1045.65,1187.28,12,10,0,0,0,945926.6078,40,181,1,2,0
131.25P,1046.33,1186.02,3,1,0,0,0,248749.5935,66,164,1,1,0
131.26P,1046.31,1186.49,3,1,0,2,0,398018.2424,57,165,0,3,0
131.27P,1046.26,1187.2,0,0,0,0,0,877673.6917,82,136,3,1,0
131.28P,1046.76,1186.01,10,5,0,2,3,528787.2559,73,151,2,2,0
131.29P,1046.8,1186.55,7,3,1,1,0,457348.146,62,170,1,2,1
131.30P,1046.67,1187.16,1,1,0,0,0,2540072.549,45,173,0,1,0
131.31P,1047.16,1187.16,0,0,0,0,0,2442520.192,31,201,0,1,0
131.33P,1045.36,1185.3,3,1,0,1,0,624357.7863,112,119,1,0,1
131.34P,1042.75,1187.92,0,0,0,0,0,442053.9607,56,173,3,0,0
131.35P,1042.85,1188.54,2,1,0,1,0,1617610.391,52,174,0,0,0
131.36P,1042.9,1189.03,1,1,0,0,0,898882.5013,55,174,1,0,0
131.37P,1043.31,1187.95,2,1,0,0,0,526317.2739,76,144,6,0,0
131.38P,1043.37,1188.5,1,1,0,0,0,572060.2345,28,185,1,0,0
131.39P,1043.41,1189,0,0,0,0,0,1567129.972,34,184,2,0,0
131.40P,1045.43,1189.2,0,0,0,0,0,779246.5383,68,147,7,1,0
131.41P,1043.41,1186.93,0,0,0,0,0,538337.6904,31,176,0,1,0
131.42P,1043.39,1187.43,1,0,0,0,0,1926165.786,36,187,1,0,0
131.43P,1043.79,1186.94,0,0,0,0,0,363536.0242,53,163,2,1,0
131.44P,1043.78,1187.39,0,0,0,0,0,1815889.452,57,165,2,0,0
131.45P,1040.87,1189.18,3,0,0,1,0,975795.1739,67,166,2,1,0
131.46P,1040.86,1188.69,1,0,0,0,0,923964.933,68,158,1,1,1
131.47P,1041.36,1188.65,1,1,0,0,0,1669408.839,49,177,1,0,0
131.48P,1043.77,1187.91,2,0,0,0,2,1662326.376,51,174,2,0,0
131.49P,1043.81,1188.98,0,0,0,0,0,769214.7181,82,146,3,1,0
131.50P,1044.19,1187.82,3,2,0,1,0,1784032.756,47,185,2,1,0
131.51P,1044.31,1188.34,4,4,0,0,0,1559273.589,55,180,3,0,0
131.52P,1044.4,1188.9,0,0,0,0,0,1540935.729,49,169,3,0,0
131.53P,1044.73,1187.83,6,3,0,3,0,1120394.805,44,175,3,1,0
131.54P,1044.84,1188.32,94,86,1,1,0,572466.752,43,185,3,0,0
131.55P,1044.9,1188.86,1,1,0,0,0,988875.6665,57,170,3,0,1
131.56P,1045.36,1187.86,2,0,0,2,0,2033019.212,58,171,2,1,0
131.57P,1043.32,1185.47,2,1,0,1,0,774032.4879,38,182,2,4,0
131.58P,1043.41,1185.89,0,0,0,0,0,735255.9392,43,176,1,0,0
131.59P,1043.38,1186.42,1,0,0,0,0,1248306.463,43,176,2,1,1
131.60P,1043.84,1185.38,1,0,0,0,0,1968881.337,42,183,2,0,1
131.61P,1043.83,1185.9,0,0,0,0,0,2248476.999,48,188,1,0,0
131.62P,1043.78,1186.35,0,0,0,0,0,881917.9786,59,167,0,0,0
131.63P,1044.33,1185.42,0,0,0,0,0,927234.6843,33,195,3,0,1
131.64P,1044.29,1185.93,1,0,0,1,0,1131565.214,47,179,1,0,1
131.65P,1044.23,1186.36,1,0,0,1,0,483977.6952,41,182,4,2,0
131.66P,1040.76,1187.68,5,1,1,1,0,14497929.45,59,161,4,10,0
131.67P,1040.77,1187.05,2,0,0,1,1,5702189.772,30,188,5,4,0
131.68P,1041.22,1187.63,1,0,0,1,0,1687832.801,61,169,1,4,0
131.69P,1041.27,1187.07,11,1,6,2,1,8524361.199,24,200,4,0,0
131.70P,1041.17,1186.56,3,0,2,0,0,4536515.697,54,176,1,2,0
131.71P,1041.21,1186.03,2,0,0,2,0,89244116.57,34,195,2,0,0
131.72P,1041.29,1185.47,3,0,2,1,0,755731.293,69,157,1,1,1
131.73P,1041.22,1185.03,7,2,0,2,0,874540.3535,63,174,1,1,0
131.74P,1041.74,1187.53,3,1,1,1,0,5032349.409,45,165,3,0,0
131.75P,1041.69,1187,2,0,0,2,0,1999500.542,19,207,0,0,0
131.76P,1041.72,1186.52,1,0,0,1,0,3127150.016,39,182,1,2,1
131.77P,1041.73,1185.93,2,0,0,0,1,2489220.958,55,167,7,0,0
131.78P,1041.69,1185.59,2,0,0,1,1,5555991.781,73,140,8,1,0
131.79P,1041.77,1185.04,6,1,0,4,0,4191036.312,40,183,4,3,0
131.80P,1042.21,1187.59,2,2,0,0,0,3093825.903,51,171,2,2,0
131.81P,1042.11,1187.02,1,0,0,1,0,2452870.937,33,190,1,0,0
131.82P,1042.19,1186.54,4,4,0,0,0,10522140.25,53,174,2,1,0
131.83P,1042.19,1186.03,4,1,0,2,0,2518864.936,37,194,1,1,1
131.84P,1042.19,1185.55,7,2,0,2,0,24090783.85,39,185,6,1,0
131.85P,1042.23,1185.08,2,1,0,1,0,1369240.698,46,177,1,1,0
131.86P,1042.57,1186.56,5,1,0,4,0,1509864.804,38,187,1,0,0
131.87P,1042.63,1186.01,1,0,0,1,0,31933598.05,43,181,2,0,0
131.88P,1042.67,1185.52,0,0,0,0,0,1186932.36,68,164,3,0,0
131.89P,1042.7,1185.11,4,0,0,1,0,2744217.515,33,198,0,4,0
131.90P,1044.84,1185.4,0,0,0,0,0,556079.6691,32,190,3,1,1
131.91P,1044.82,1185.87,1,1,0,0,0,1180524.872,49,181,1,0,0
131.92P,1044.81,1186.36,0,0,0,0,0,609517.2806,47,181,5,1,0
131.93P,1043.82,1188.39,5,2,1,0,1,1582624.078,66,158,3,1,0
131.94P,1045.33,1188.44,1,0,0,0,0,1016202.995,54,183,1,1,0
131.95P,1045.39,1188.76,2,2,0,0,0,817431.2533,69,161,1,0,0
,,,391,151,30,50,107,,4687,16228,191,136,12
